Altium Designer Pick and Place Locations
C:\Wrk_Altium\Felix\PanelDriver2\Project Outputs for PanelDriver\Pick Place\Pick Place for PanelDriver.csv

========================================================================================================================
File Design Information:

Date:       23.03.24
Time:       18:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D5","1N4148W","TopLayer","SOD123","20.2500","34.5000","0","1N4148W-E3-08, Rectifier Diode Small Signal Switching Si 100V 0.15A 4ns 2-Pin SOD-123 T/R"
"P7","Header 16","TopLayer","HDR1X16","2.0000","22.9500","270","Header, 16-Pin"
"R14","10k","TopLayer","R0603","22.7500","42.5000","180","125mW Thick Film Resistors ±100ppm/? ±5% 10k? 0603  Chip Resistor - Surface Mount ROHS"
"P6","Header 5","TopLayer","HDR1X5","37.0800","42.0000","0","Header, 5-Pin"
"P5","Header 4","TopLayer","HDR1X4","38.6900","2.0000","180","Header, 4-Pin"
"P4","Header 4","TopLayer","HDR1X4","27.1900","2.0000","180","Header, 4-Pin"
"C24","0.1uF","TopLayer","C0603","21.5000","28.2500","90","25V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C20","22uF","TopLayer","C1206","41.7500","26.0000","90","16V 22uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C27","0.1uF","TopLayer","C0603","41.2500","21.2500","270","25V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C29","0.1uF","TopLayer","C0603","32.7500","34.7500","180","25V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C26","0.1uF","TopLayer","C0603","30.7500","15.0000","180","25V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C28","0.1uF","TopLayer","C0603","41.2500","30.7500","90","25V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
